Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep,Sleep Time,Minutes after 9 pm,Weekday,Awake Time,Sleep Score
2022-12-19,464,69,30,533,109,245,110, 11:37,157,0, 8:30,79.0
2022-12-18,453,88,47,541,111,241,101, 11:29,149,6, 8:30,75.0
2022-12-18,391,69,31,460,86,204,101, 1:06,246,6, 8:47,84.0
2022-12-16,484,69,41,553,100,311,73, 11:17,137,4, 8:30,79.0
2022-12-15,442,71,35,513,131,236,75, 11:59,179,3, 8:32,85.0
2022-12-14,507,74,49,581,138,278,91, 10:51,111,2, 8:32,84.0
2022-12-13,486,61,29,547,119,271,96, 11:16,136,1, 8:23,76.0
2022-12-12,478,87,36,565,102,307,69, 11:04,124,0, 8:29,79.0
2022-12-12,419,52,35,471,148,198,73, 12:17,197,0, 8:08,
2022-12-11,443,59,32,502,141,220,82, 1:14,254,6, 9:36,80.0
2022-12-10,320,55,26,375,82,165,73, 12:18,198,5, 6:33,71.0
2022-12-08,430,62,32,492,102,270,58, 10:37,97,3, 6:49,78.0
2022-12-07,401,52,30,453,114,205,82, 11:23,143,2, 6:56,79.0
