Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep,Sleep Time,Minutes after 9 pm,Weekday,Awake Time,Sleep Score
2022-08-30,443,67,37,510,107,230,106, 10:24,84,1, 6:54,82
2022-08-29,412,59,35,471,108,276,28, 11:09,129,0, 7:00,77
2022-08-28,418,63,30,481,89,227,102, 10:45,105,6, 6:46,80
2022-08-28,409,56,26,465,89,219,101, 12:34,214,6, 8:19,77
2022-08-27,338,64,27,402,54,186,98, 3:23,383,5, 10:05,64
2022-08-26,438,62,33,500,106,238,94, 12:18,198,4, 8:38,84
2022-08-25,387,48,32,435,100,222,65, 12:41,221,3, 7:56,79
2022-08-24,397,51,33,448,96,194,107, 12:19,199,2, 7:47,81
2022-08-23,367,48,29,415,66,185,116, 12:50,230,1, 7:45,77
2022-08-22,374,58,33,432,89,200,85, 12:55,235,0, 8:07,77
2022-08-19,456,76,36,532,106,245,105, 11:12,132,4, 8:04,81
