Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep,Sleep Time,Minutes after 9 pm,Weekday,Awake Time,Sleep Score
2022-11-29,477,80,34,557,130,251,96, 10:46,106,1, 8:03,77
2022-11-28,432,59,33,491,75,279,78, 10:45,105,0, 6:56,71
2022-11-28,343,46,23,389,101,161,81, 12:25,205,0, 6:54,74
2022-11-24,383,52,21,435,103,199,81, 1:46,286,3, 9:02,78
2022-11-22,197,35,11,232,23,141,33, 11:10,130,1, 3:02,58
2022-11-21,185,34,11,219,47,88,50, 10:40,100,0, 2:19,61
2022-11-21,232,15,15,247,67,111,54, 4:21,441,0, 8:28,72
2022-11-19,336,44,31,380,73,210,53, 11:03,123,5, 5:23,72
2022-11-18,477,64,32,541,136,287,54, 10:28,88,4, 7:29,79
2022-11-17,422,60,33,482,98,268,56, 10:38,98,3, 6:40,78
2022-11-15,421,77,35,498,105,239,77, 10:30,90,1, 6:48,79
2022-11-14,418,69,31,487,112,238,68, 10:39,99,0, 6:46,77
2022-11-14,414,34,31,448,139,188,87, 12:18,198,0, 7:46,82
2022-11-12,377,44,22,421,91,221,65, 10:07,67,5, 5:08,79
2022-11-11,437,75,36,512,75,248,114, 10:48,108,4, 7:20,76
2022-11-10,442,54,25,496,98,253,91, 12:56,236,3, 9:12,77
2022-11-09,455,54,30,509,149,213,93, 10:26,86,2, 6:55,82
2022-11-08,449,65,36,514,86,275,88, 10:20,80,1, 6:54,79
2022-11-07,409,85,30,494,65,273,71, 10:40,100,0, 6:54,69
2022-11-07,286,35,27,321,96,131,59, 1:27,267,0, 6:48,74
2022-11-04,200,39,15,239,41,100,59, 11:01,121,4, 3:01,66
2022-11-03,440,59,38,499,131,234,75, 10:32,92,3, 6:51,81
2022-11-02,462,47,36,509,107,284,71, 10:26,86,2, 6:55,84
2022-11-01,433,51,33,484,122,219,92, 10:52,112,1, 6:56,83
