Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep,Sleep Time,Minutes after 9 pm,Weekday,Awake Time,Sleep Score
2022-10-30,355,30,27,385,107.0,157.0,91.0, 2:12,312,6, 8:37,78.0
2022-10-28,480,56,33,536,123.0,258.0,99.0, 10:50,110,4, 7:46,87.0
2022-10-27,443,45,29,488,111.0,244.0,88.0, 10:47,107,3, 6:55,80.0
2022-10-26,452,53,26,505,110.0,287.0,55.0, 10:30,90,2, 6:55,82.0
2022-10-25,436,54,31,490,114.0,274.0,48.0, 10:45,105,1, 6:55,81.0
2022-10-24,449,52,33,501,107.0,287.0,55.0, 10:35,95,0, 6:56,83.0
2022-10-22,414,53,34,467,102.0,232.0,80.0, 4:27,447,5, 12:14,81.0
2022-10-21,412,47,39,459,87.0,252.0,73.0, 11:55,175,4, 7:34,79.0
2022-10-20,426,71,29,497,97.0,265.0,64.0, 10:38,98,3, 6:55,79.0
2022-10-19,413,81,29,494,99.0,225.0,89.0, 10:41,101,2, 6:55,76.0
2022-10-18,389,86,22,475,83.0,215.0,91.0, 10:58,118,1, 6:53,68.0
2022-10-17,410,51,28,461,85.0,258.0,67.0, 11:07,127,0, 6:48,78.0
2022-10-16,423,45,32,468,76.0,265.0,82.0, 10:59,119,6, 6:47,82.0
2022-10-16,412,46,38,458,126.0,210.0,76.0, 1:38,278,6, 9:16,80.0
2022-10-14,468,63,29,531,106.0,296.0,66.0, 11:08,128,4, 8:00,78.0
2022-10-12,411,75,33,486,98.0,226.0,87.0, 10:40,100,2, 6:46,76.0
2022-10-11,471,46,42,517,90.0,276.0,105.0, 10:15,75,1, 6:52,83.0
2022-10-10,424,58,28,482,94.0,276.0,54.0, 11:52,172,0, 7:54,82.0
2022-10-10,502,65,43,567,152.0,213.0,137.0, 12:14,194,0, 9:41,89.0
2022-10-09,416,49,29,465,119.0,211.0,86.0, 2:37,337,6, 10:23,81.0
2022-10-08,369,36,20,405,88.0,252.0,29.0, 2:50,350,5, 9:35,77.0
2022-10-06,403,61,33,464,98.0,259.0,46.0, 11:09,129,3, 6:53,76.0
2022-10-04,453,52,29,505,110.0,264.0,79.0, 10:30,90,1, 6:55,82.0
2022-10-03,382,59,36,441,87.0,205.0,90.0, 10:27,87,0, 5:48,75.0
2022-10-02,410,62,31,472,105.0,203.0,102.0, 10:57,117,6, 6:49,81.0
2022-10-01,526,65,32,591,153.0,289.0,84.0, 11:29,149,5, 9:20,86.0
2022-10-01,459,68,35,527,104.0,270.0,85.0, 12:30,210,5, 9:17,78.0
