,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2023-01-06 12:06AM","2023-01-06 9:50AM","526","58","34","584","164","276","86"
"2023-01-05 4:09AM","2023-01-05 8:45AM","246","30","14","276","32","167","47"
"2022-12-19 11:37PM","2022-12-20 8:30AM","464","69","30","533","109","245","110"
"2022-12-18 11:29PM","2022-12-19 8:30AM","453","88","47","541","111","241","101"
"2022-12-18 1:06AM","2022-12-18 8:47AM","391","69","31","460","86","204","101"
"2022-12-16 11:17PM","2022-12-17 8:30AM","484","69","41","553","100","311","73"
"2022-12-15 11:59PM","2022-12-16 8:32AM","442","71","35","513","131","236","75"
"2022-12-14 10:51PM","2022-12-15 8:32AM","507","74","49","581","138","278","91"
"2022-12-13 11:16PM","2022-12-14 8:23AM","486","61","29","547","119","271","96"
"2022-12-12 11:04PM","2022-12-13 8:29AM","478","87","36","565","102","307","69"
"2022-12-12 12:17AM","2022-12-12 8:08AM","419","52","35","471","148","198","73"
"2022-12-11 1:14AM","2022-12-11 9:36AM","443","59","32","502","141","220","82"
"2022-12-10 12:18AM","2022-12-10 6:33AM","320","55","26","375","82","165","73"
"2022-12-08 10:37PM","2022-12-09 6:49AM","430","62","32","492","102","270","58"
"2022-12-07 11:23PM","2022-12-08 6:56AM","401","52","30","453","114","205","82"

